replicate,lambda,logL,P
1,7.331374358574057e-5,97.62201022296608,1
2,7.331374358574057e-5,98.3946368627868,1
3,7.331374358574057e-5,97.72847295244264,1
4,7.331374358574057e-5,98.75450331246259,1
5,7.331374358574057e-5,78.95448601077499,1
6,7.331374358574057e-5,98.80679149325636,1
7,7.331374358574057e-5,98.31728498325106,1
8,7.331374358574057e-5,95.55860368856327,1
9,7.331374358574057e-5,97.97593876611654,1
10,7.331374358574057e-5,97.54452851321048,1
11,7.331374358574057e-5,96.77658331938494,1
12,7.331374358574057e-5,88.69251026781967,1
13,7.331374358574057e-5,98.77127163109412,1
14,7.331374358574057e-5,98.75680462922992,1
15,7.331374358574057e-5,88.00665597412626,1
16,7.331374358574057e-5,97.06038788242984,1
17,7.331374358574057e-5,93.55034184973113,1
18,7.331374358574057e-5,98.79985581809365,1
19,7.331374358574057e-5,94.71082657753846,1
20,7.331374358574057e-5,87.3990566862791,1
21,7.331374358574057e-5,98.42416438292321,1
22,7.331374358574057e-5,97.95332169637368,1
23,7.331374358574057e-5,98.77133081398142,1
24,7.331374358574057e-5,96.58455496296403,1
25,7.331374358574057e-5,75.85991852386417,1
26,7.331374358574057e-5,85.5082111707477,1
27,7.331374358574057e-5,88.62079586853338,1
28,7.331374358574057e-5,98.5159237767316,1
29,7.331374358574057e-5,98.31178734034427,1
30,7.331374358574057e-5,98.80799610896838,1
31,7.331374358574057e-5,97.67543935292531,1
32,7.331374358574057e-5,98.77359439603595,1
33,7.331374358574057e-5,98.02838615133032,1
34,7.331374358574057e-5,88.44670887399104,1
35,7.331374358574057e-5,88.10570558668815,1
36,7.331374358574057e-5,76.87244942164034,1
37,7.331374358574057e-5,87.79559078145166,1
38,7.331374358574057e-5,79.1653261801132,1
39,7.331374358574057e-5,97.63188068752493,1
40,7.331374358574057e-5,98.46502847363615,1
41,7.331374358574057e-5,98.75680462922992,1
42,7.331374358574057e-5,98.36766852909341,1
43,7.331374358574057e-5,96.60465846818886,1
44,7.331374358574057e-5,89.00661612899705,1
45,7.331374358574057e-5,79.77580417413208,1
46,7.331374358574057e-5,98.80832142715133,1
47,7.331374358574057e-5,98.80799610896838,1
48,7.331374358574057e-5,97.82809204423393,1
49,7.331374358574057e-5,97.427663927764,1
50,7.331374358574057e-5,98.55326345113428,1
51,7.331374358574057e-5,86.29331768380939,1
52,7.331374358574057e-5,88.67155239110866,1
53,7.331374358574057e-5,88.38363853278372,1
54,7.331374358574057e-5,82.66705395184863,1
55,7.331374358574057e-5,87.20160967187769,1
56,7.331374358574057e-5,98.56399722743947,1
57,7.331374358574057e-5,98.61889651111858,1
58,7.331374358574057e-5,88.72297431506865,1
59,7.331374358574057e-5,87.45888343447064,1
60,7.331374358574057e-5,96.44637688036721,1
61,7.331374358574057e-5,98.39257072895964,1
62,7.331374358574057e-5,88.79463237289531,1
63,7.331374358574057e-5,98.41951743109075,1
64,7.331374358574057e-5,98.48950325563953,1
65,7.331374358574057e-5,83.1243590365383,1
66,7.331374358574057e-5,98.82293764464623,1
67,7.331374358574057e-5,92.61669239844946,1
68,7.331374358574057e-5,98.58329023611554,1
69,7.331374358574057e-5,98.31178734034427,1
70,7.331374358574057e-5,87.24784687198644,1
71,7.331374358574057e-5,98.02125874567798,1
72,7.331374358574057e-5,95.00044063669111,1
73,7.331374358574057e-5,88.3322263038234,1
74,7.331374358574057e-5,98.63641354334845,1
75,7.331374358574057e-5,88.55735383138233,1
76,7.331374358574057e-5,98.15210366050292,1
77,7.331374358574057e-5,98.06783812396793,1
78,7.331374358574057e-5,97.88277790556504,1
79,7.331374358574057e-5,97.1887350843125,1
80,7.331374358574057e-5,98.31728498325106,1
81,7.331374358574057e-5,98.94099196142884,1
82,7.331374358574057e-5,98.59735084954889,1
83,7.331374358574057e-5,97.9533874970856,1
84,7.331374358574057e-5,98.83922445137023,1
85,7.331374358574057e-5,98.00458380752434,1
86,7.331374358574057e-5,98.73199157787894,1
87,7.331374358574057e-5,87.61337038010424,1
88,7.331374358574057e-5,95.11742540673879,1
89,7.331374358574057e-5,88.72930957827566,1
90,7.331374358574057e-5,98.6581024847909,1
91,7.331374358574057e-5,96.3107274658297,1
92,7.331374358574057e-5,98.42399635964637,1
93,7.331374358574057e-5,88.5295655949617,1
94,7.331374358574057e-5,98.07002478829202,1
95,7.331374358574057e-5,87.7196017048766,1
96,7.331374358574057e-5,98.4607450138758,1
97,7.331374358574057e-5,97.92525002817308,1
98,7.331374358574057e-5,98.68857498336047,1
99,7.331374358574057e-5,90.00497903152723,1
100,7.331374358574057e-5,97.26643137311692,1
